"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"34","motion",1.01594736842105,1.25705555555556,1.22206666666667,1.24586666666667,1.22561111111111,1.21964705882353,1.31041666666667,1.41429411764706,0.791666666666667,0.75,0.625,0.625,0.75,0.708333333333333,0.5,0.708333333333333
"35","motion",1.02958823529412,0.92345,1.06153333333333,1.08855555555556,0.9655,1.08,1.09786666666667,1.0919375,0.708333333333333,0.869565217391304,0.625,0.75,0.666666666666667,0.75,0.625,0.666666666666667
"36","motion",0.830611111111111,0.971473684210526,1.01757142857143,1.1069,0.9994,1.08288235294118,0.9393125,1.10511111111111,0.75,0.791666666666667,0.583333333333333,0.416666666666667,0.625,0.739130434782609,0.666666666666667,0.375
"37","motion",0.692352941176471,0.785058823529412,0.733888888888889,0.863583333333333,0.833235294117647,0.777,0.923692307692308,0.860285714285714,0.708333333333333,0.708333333333333,0.75,0.5,0.708333333333333,0.541666666666667,0.541666666666667,0.583333333333333
"38","motion",0.6935,0.829153846153846,0.720315789473684,0.754111111111111,0.7102,0.905461538461538,0.814571428571429,0.958666666666667,0.75,0.541666666666667,0.791666666666667,0.375,0.833333333333333,0.541666666666667,0.583333333333333,0.5
"39","motion",0.65745,0.803105263157895,0.686235294117647,0.8554,0.687235294117647,0.80535,0.716833333333333,0.797153846153846,0.833333333333333,0.791666666666667,0.708333333333333,0.625,0.708333333333333,0.833333333333333,0.5,0.541666666666667
"40","motion",0.611266666666667,0.522,0.514181818181818,0.476,0.665444444444445,0.510555555555556,0.562214285714286,0.526933333333333,0.625,0.545454545454545,0.478260869565217,0.476190476190476,0.428571428571429,0.375,0.583333333333333,0.681818181818182
"41","motion",0.693277777777778,0.626857142857143,0.687176470588235,0.67725,0.663823529411765,0.65135,0.784846153846154,0.671,0.75,0.875,0.708333333333333,0.666666666666667,0.708333333333333,0.833333333333333,0.541666666666667,0.458333333333333
"42","motion",0.7031875,0.76375,0.747545454545455,0.752523809523809,0.674875,0.800142857142857,0.736545454545455,0.759473684210526,0.695652173913043,0.666666666666667,0.478260869565217,0.91304347826087,0.666666666666667,0.583333333333333,0.458333333333333,0.791666666666667
"43","motion",0.7281,0.85825,0.8463,0.8855625,0.955277777777778,0.7858,0.854647058823529,1.000625,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.75,0.833333333333333,0.708333333333333,0.666666666666667
"44","motion",0.8531,0.82915,0.7291,0.745368421052632,0.8412,0.746736842105263,1.11263636363636,0.783733333333333,0.416666666666667,0.833333333333333,0.416666666666667,0.791666666666667,0.416666666666667,0.791666666666667,0.478260869565217,0.625
"45","motion",0.72185,0.699260869565217,0.755736842105263,0.76585,0.793933333333333,0.771647058823529,0.82025,0.828266666666667,0.833333333333333,0.958333333333333,0.791666666666667,0.833333333333333,0.625,0.708333333333333,0.5,0.625
