"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"123",0.0682624113475176,-0.00985603715170269,2,"easy"
"123",0.123106060606061,0.0172025862068965,3,"difficult"
"123",-0.127659574468085,0.275956730769231,4,"very difficult"
"124",-0.104166666666667,0.233534994697773,1,"very easy"
"124",-0.1875,-0.00484430082256182,2,"easy"
"124",-0.125,0.123484210526316,3,"difficult"
"124",-0.176418439716312,0.113609411764706,4,"very difficult"
"125",-0.0394503546099291,-0.189684088269454,1,"very easy"
"125",-0.048792270531401,-0.120212241653418,2,"easy"
"125",-0.172147001934236,0.0415526315789472,3,"difficult"
"125",-0.137351778656126,0.0580560344827585,4,"very difficult"
"126",0.125,-0.161258928571428,1,"very easy"
"126",0,0.033804347826087,2,"easy"
"126",-0.171985815602837,-0.122853896103896,3,"difficult"
"126",-0.152173913043478,-0.00879022988505729,4,"very difficult"
"127",-0.0208333333333334,-0.194628282828283,1,"very easy"
"127",-0.166666666666667,-0.185025252525253,2,"easy"
"127",-0.3125,-0.201073170731707,3,"difficult"
"127",-0.395833333333333,0.0203773809523811,4,"very difficult"
"128",0,-0.123893617021277,1,"very easy"
"128",0.125,0.0190880434782608,2,"easy"
"128",0.1875,0.0109514363885088,3,"difficult"
"128",0.0917553191489362,0.00911038961038946,4,"very difficult"
"129",0.0208333333333334,0.300085106382979,1,"very easy"
"129",0.166666666666667,0.223974747474747,2,"easy"
"129",0.0326086956521739,0.326886363636363,3,"difficult"
"129",0.0704787234042553,0.17766039707419,4,"very difficult"
"130",0.0833333333333333,0.106812469074715,1,"very easy"
"130",0.229166666666667,0.126058385093168,2,"easy"
"130",0.331560283687943,0.0976428571428569,3,"difficult"
"130",0.0766843971631206,-0.0595765086206899,4,"very difficult"
"131",0.0833333333333334,0.506784090909091,1,"very easy"
"131",0.270833333333333,0.44523153942428,2,"easy"
"131",0.498188405797101,0.612931818181818,3,"difficult"
"131",0.652173913043478,0.4225,4,"very difficult"
"132",0.165336879432624,-0.189939803439803,1,"very easy"
"132",0.0246376811594202,-0.11068167604753,2,"easy"
"132",0.015263644773358,0.00184848484848477,3,"difficult"
"132",-0.224329324699352,0.228738095238095,4,"very difficult"
"133",0.0651595744680851,0.0269604336043359,1,"very easy"
"133",0.0397779833487512,0.121798717948718,2,"easy"
"133",-0.174645390070922,0.181855716878403,3,"difficult"
"133",-0.0416666666666666,-0.154192857142857,4,"very difficult"
"134",0.0833333333333334,-0.0921723484848485,1,"very easy"
"134",0.0403368794326241,-0.144217230443975,2,"easy"
"134",-0.0305555555555556,-0.251556390977444,3,"difficult"
"134",-0.0246615087040619,0.0612407407407407,4,"very difficult"
"135",-0.145833333333333,-0.333767558528428,1,"very easy"
"135",-0.00265957446808507,-0.260117886178862,2,"easy"
"135",-0.305609284332689,-0.122566666666667,3,"difficult"
"135",-0.213238770685579,-0.083712121212121,4,"very difficult"
"136",-0.0208333333333334,0.0127951690821255,1,"very easy"
"136",0.0416666666666666,0.114087862318841,2,"easy"
"136",-0.136775362318841,0.068910569105691,3,"difficult"
"136",-0.0292553191489362,0.193564285714286,4,"very difficult"
"137",-0.0208333333333334,0.236973404255319,1,"very easy"
"137",0.0416666666666667,0.326461462450593,2,"easy"
"137",0.229166666666667,0.18403125,3,"difficult"
"137",0.145833333333333,0.218175287356322,4,"very difficult"
"138",-0.0833333333333334,-0.288306233062331,1,"very easy"
"138",-0.0416666666666666,-0.211694386694387,2,"easy"
"138",-0.125,-0.173722610722611,3,"difficult"
"138",-0.145833333333333,-0.0920141612200434,4,"very difficult"
"139",0.0855496453900709,0.17524924012158,1,"very easy"
"139",0,0.101953488372093,2,"easy"
"139",0.0625,0.257401430842607,3,"difficult"
"139",0.270833333333333,0.374317632850242,4,"very difficult"
"140",0.144946808510638,0.215415384615385,1,"very easy"
"140",0.0208333333333333,0.149164904862579,2,"easy"
"140",0.0469858156028369,0.124199248120301,3,"difficult"
"140",0.139184397163121,0.231072115384615,4,"very difficult"
"141",0.0416666666666666,0.0840461956521739,1,"very easy"
"141",0.0833333333333334,0.0985415860735008,2,"easy"
"141",-0.0593971631205674,-0.0236092105263159,3,"difficult"
"141",-0.266843971631206,0.243157894736842,4,"very difficult"
