"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"100",0.666666666666667,0.7405625,"other",4,"very difficult","color"
"100",0.708333333333333,0.743882352941176,"self",4,"very difficult","color"
"101",1,0.662333333333333,"other",1,"very easy","color"
"101",0.869565217391304,0.8048,"self",1,"very easy","color"
"101",0.958333333333333,0.713304347826087,"other",2,"easy","color"
"101",0.875,0.861619047619048,"self",2,"easy","color"
"101",0.916666666666667,0.750045454545454,"other",3,"difficult","color"
"101",0.416666666666667,0.8673,"self",3,"difficult","color"
"101",0.791666666666667,0.786526315789474,"other",4,"very difficult","color"
"101",0.333333333333333,0.86125,"self",4,"very difficult","color"
"102",0.958333333333333,0.853782608695652,"other",1,"very easy","color"
"102",0.875,0.828714285714286,"self",1,"very easy","color"
"102",0.833333333333333,0.9135,"other",2,"easy","color"
"102",0.916666666666667,0.7915,"self",2,"easy","color"
"102",0.916666666666667,1.03318181818182,"other",3,"difficult","color"
"102",0.666666666666667,0.9015625,"self",3,"difficult","color"
"102",0.666666666666667,1.1161875,"other",4,"very difficult","color"
"102",0.625,1.0286,"self",4,"very difficult","color"
"103",0.75,0.936666666666667,"other",1,"very easy","color"
"103",1,0.706333333333333,"self",1,"very easy","color"
"103",0.791666666666667,0.844368421052632,"other",2,"easy","color"
"103",0.958333333333333,0.803608695652174,"self",2,"easy","color"
"103",0.708333333333333,0.972705882352941,"other",3,"difficult","color"
"103",0.791666666666667,0.836473684210526,"self",3,"difficult","color"
"103",0.583333333333333,0.985428571428571,"other",4,"very difficult","color"
"103",0.583333333333333,0.815142857142857,"self",4,"very difficult","color"
"104",0.916666666666667,0.629590909090909,"other",1,"very easy","color"
"104",0.833333333333333,0.7127,"self",1,"very easy","color"
"104",1,0.612,"other",2,"easy","color"
"104",0.625,0.6548,"self",2,"easy","color"
"104",0.875,0.70152380952381,"other",3,"difficult","color"
"104",0.458333333333333,0.644363636363636,"self",3,"difficult","color"
"104",0.875,0.672904761904762,"other",4,"very difficult","color"
"104",0.5,0.7225,"self",4,"very difficult","color"
"105",0.958333333333333,0.910391304347826,"other",1,"very easy","color"
"105",0.958333333333333,0.753608695652174,"self",1,"very easy","color"
"105",0.833333333333333,0.9701,"other",2,"easy","color"
"105",0.833333333333333,0.76485,"self",2,"easy","color"
"105",0.5,0.853666666666667,"other",3,"difficult","color"
"105",0.833333333333333,0.9685,"self",3,"difficult","color"
"105",0.541666666666667,0.845769230769231,"other",4,"very difficult","color"
"105",0.791666666666667,0.969578947368421,"self",4,"very difficult","color"
"106",1,0.946958333333333,"other",1,"very easy","color"
"106",0.958333333333333,0.878565217391304,"self",1,"very easy","color"
"106",1,1.09570833333333,"other",2,"easy","color"
"106",0.958333333333333,1.06008695652174,"self",2,"easy","color"
"106",0.875,1.05704761904762,"other",3,"difficult","color"
"106",0.75,1.22783333333333,"self",3,"difficult","color"
"106",0.583333333333333,1.1075,"other",4,"very difficult","color"
"106",0.708333333333333,1.19605882352941,"self",4,"very difficult","color"
"107",1,1.10108695652174,"other",1,"very easy","color"
"107",0.916666666666667,1.10990909090909,"self",1,"very easy","color"
"107",0.916666666666667,1.12459090909091,"other",2,"easy","color"
"107",0.791666666666667,1.18842105263158,"self",2,"easy","color"
"107",0.75,1.04344444444444,"other",3,"difficult","color"
"107",0.791666666666667,1.27321052631579,"self",3,"difficult","color"
"107",0.695652173913043,1.418,"other",4,"very difficult","color"
"107",0.75,1.38883333333333,"self",4,"very difficult","color"
"108",0.958333333333333,0.685521739130435,"other",1,"very easy","color"
"108",0.708333333333333,0.832,"self",1,"very easy","color"
"108",0.958333333333333,0.679,"other",2,"easy","color"
"108",0.708333333333333,0.811,"self",2,"easy","color"
"108",0.916666666666667,0.694863636363636,"other",3,"difficult","color"
"108",0.583333333333333,0.862928571428571,"self",3,"difficult","color"
"108",0.75,0.779,"other",4,"very difficult","color"
"108",0.541666666666667,0.906230769230769,"self",4,"very difficult","color"
"109",1,0.757041666666667,"other",1,"very easy","color"
"109",0.833333333333333,0.7868,"self",1,"very easy","color"
"109",0.916666666666667,0.803590909090909,"other",2,"easy","color"
"109",0.791666666666667,0.785473684210526,"self",2,"easy","color"
"109",0.75,0.862,"other",3,"difficult","color"
"109",0.5,1.03383333333333,"self",3,"difficult","color"
"109",0.782608695652174,0.941,"other",4,"very difficult","color"
"109",0.541666666666667,0.972538461538462,"self",4,"very difficult","color"
"110",0.916666666666667,0.754454545454545,"other",1,"very easy","color"
"110",1,0.726041666666667,"self",1,"very easy","color"
"110",0.916666666666667,0.816318181818182,"other",2,"easy","color"
"110",0.916666666666667,0.740045454545454,"self",2,"easy","color"
"110",0.708333333333333,0.844,"other",3,"difficult","color"
"110",0.833333333333333,0.846,"self",3,"difficult","color"
"110",0.583333333333333,0.8,"other",4,"very difficult","color"
"110",0.75,0.878222222222222,"self",4,"very difficult","color"
"111",0.916666666666667,0.729454545454545,"other",1,"very easy","color"
"111",0.958333333333333,0.640695652173913,"self",1,"very easy","color"
"111",0.695652173913043,0.7003125,"other",2,"easy","color"
"111",0.833333333333333,0.66435,"self",2,"easy","color"
"111",0.541666666666667,0.724615384615385,"other",3,"difficult","color"
"111",0.833333333333333,0.7437,"self",3,"difficult","color"
"111",0.304347826086957,0.918,"other",4,"very difficult","color"
"111",0.583333333333333,0.759428571428571,"self",4,"very difficult","color"
"112",0.833333333333333,0.83425,"other",1,"very easy","color"
"112",1,0.83525,"self",1,"very easy","color"
"112",0.833333333333333,0.8844,"other",2,"easy","color"
"112",0.75,0.830666666666667,"self",2,"easy","color"
"112",0.708333333333333,0.867941176470588,"other",3,"difficult","color"
"112",0.875,0.903952380952381,"self",3,"difficult","color"
"112",0.666666666666667,0.885875,"other",4,"very difficult","color"
"112",0.625,0.912533333333333,"self",4,"very difficult","color"
"113",0.791666666666667,0.715789473684211,"other",1,"very easy","color"
"113",0.666666666666667,0.85875,"self",1,"very easy","color"
"113",0.875,0.816904761904762,"other",2,"easy","color"
"113",0.75,0.899888888888889,"self",2,"easy","color"
"113",0.791666666666667,0.806947368421053,"other",3,"difficult","color"
"113",0.666666666666667,0.86925,"self",3,"difficult","color"
"113",0.565217391304348,0.869076923076923,"other",4,"very difficult","color"
"113",0.375,0.977,"self",4,"very difficult","color"
"114",0.916666666666667,0.775136363636364,"other",1,"very easy","color"
"114",0.958333333333333,0.733086956521739,"self",1,"very easy","color"
"114",0.875,0.811285714285714,"other",2,"easy","color"
"114",0.695652173913043,0.73825,"self",2,"easy","color"
"114",0.608695652173913,0.868357142857143,"other",3,"difficult","color"
"114",0.772727272727273,0.769411764705882,"self",3,"difficult","color"
"114",0.625,0.927733333333333,"other",4,"very difficult","color"
"114",0.666666666666667,0.86225,"self",4,"very difficult","color"
"115",0.75,0.661277777777778,"other",1,"very easy","color"
"115",1,0.693916666666667,"self",1,"very easy","color"
"115",0.782608695652174,0.628722222222222,"other",2,"easy","color"
"115",0.916666666666667,0.642272727272727,"self",2,"easy","color"
"115",0.75,0.789944444444444,"other",3,"difficult","color"
"115",0.875,0.762,"self",3,"difficult","color"
"115",0.5,0.65675,"other",4,"very difficult","color"
"115",0.5,0.69925,"self",4,"very difficult","color"
"116",0.958333333333333,0.608391304347826,"other",1,"very easy","color"
"116",0.916666666666667,0.633363636363636,"self",1,"very easy","color"
"116",0.916666666666667,0.649272727272727,"other",2,"easy","color"
"116",0.956521739130435,0.632909090909091,"self",2,"easy","color"
"116",0.708333333333333,0.669647058823529,"other",3,"difficult","color"
"116",0.791666666666667,0.645157894736842,"self",3,"difficult","color"
"116",0.583333333333333,0.629571428571429,"other",4,"very difficult","color"
"116",0.666666666666667,0.7145,"self",4,"very difficult","color"
"117",1,0.742791666666667,"other",1,"very easy","color"
"117",1,0.622208333333333,"self",1,"very easy","color"
"117",0.916666666666667,0.724954545454546,"other",2,"easy","color"
"117",1,0.685875,"self",2,"easy","color"
"117",0.625,0.763866666666667,"other",3,"difficult","color"
"117",0.75,0.755611111111111,"self",3,"difficult","color"
"117",0.541666666666667,0.838692307692308,"other",4,"very difficult","color"
"117",0.666666666666667,0.676,"self",4,"very difficult","color"
"118",1,0.710416666666667,"other",1,"very easy","color"
"118",0.916666666666667,0.786090909090909,"self",1,"very easy","color"
"118",0.791666666666667,0.765578947368421,"other",2,"easy","color"
"118",0.666666666666667,0.85275,"self",2,"easy","color"
"118",0.791666666666667,0.79578947368421,"other",3,"difficult","color"
"118",0.791666666666667,0.846684210526316,"self",3,"difficult","color"
"118",0.608695652173913,0.715214285714286,"other",4,"very difficult","color"
"118",0.666666666666667,0.9453125,"self",4,"very difficult","color"
"119",0.916666666666667,0.731454545454545,"other",1,"very easy","color"
"119",0.958333333333333,0.667260869565217,"self",1,"very easy","color"
"119",0.916666666666667,0.772227272727273,"other",2,"easy","color"
"119",0.833333333333333,0.6553,"self",2,"easy","color"
"119",0.565217391304348,0.760538461538461,"other",3,"difficult","color"
"119",0.75,0.629111111111111,"self",3,"difficult","color"
"119",0.333333333333333,0.7815,"other",4,"very difficult","color"
"119",0.666666666666667,0.685625,"self",4,"very difficult","color"
"120",0.875,0.696571428571429,"other",1,"very easy","color"
"120",0.958333333333333,0.70204347826087,"self",1,"very easy","color"
"120",0.791666666666667,0.762,"other",2,"easy","color"
"120",0.958333333333333,0.759478260869565,"self",2,"easy","color"
"120",0.583333333333333,0.677785714285714,"other",3,"difficult","color"
"120",0.833333333333333,0.75605,"self",3,"difficult","color"
"120",0.608695652173913,0.775,"other",4,"very difficult","color"
"120",0.75,0.750111111111111,"self",4,"very difficult","color"
