"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"124",0.0416666666666666,-0.00615367965367963,1,"very easy"
"124",-0.166666666666667,0.0975656565656566,2,"easy"
"124",-0.375,0.101340909090909,3,"difficult"
"124",-0.25,-0.0105347593582887,4,"very difficult"
"125",0.0416666666666666,-0.0055974025974026,1,"very easy"
"125",0.0833333333333334,0.05465,2,"easy"
"125",0.166666666666667,0.137303167420814,3,"difficult"
"125",0,0.0165999999999999,4,"very difficult"
"126",0,-0.0283478260869565,1,"very easy"
"126",-0.0416666666666666,0.00514130434782611,2,"easy"
"126",0.0416666666666667,0.092371052631579,3,"difficult"
"126",0.0833333333333334,-0.0589833333333334,4,"very difficult"
"127",-0.0416666666666667,-0.0913754940711462,1,"very easy"
"127",0.0833333333333334,-0.100736842105263,2,"easy"
"127",-0.25,-0.134875,3,"difficult"
"127",-0.239130434782609,-0.0587990196078432,4,"very difficult"
"128",-0.0833333333333334,-0.00469151138716362,1,"very easy"
"128",-0.125,-0.0398434782608695,2,"easy"
"128",-0.0833333333333334,0.0525388888888888,3,"difficult"
"128",-0.0833333333333333,0.133625,4,"very difficult"
"129",0.0833333333333334,0.167147727272727,1,"very easy"
"129",0.333333333333333,0.139840579710145,2,"easy"
"129",0.416666666666667,0.199178571428571,3,"difficult"
"129",0.356884057971014,0.0880736842105264,4,"very difficult"
"130",0.166666666666667,0.050979405034325,1,"very easy"
"130",0.0416666666666666,-0.0753619047619049,2,"easy"
"130",0.0833333333333334,-0.0126736111111111,3,"difficult"
"130",0.25,-0.0869500000000001,4,"very difficult"
"131",0.208333333333333,0.226222222222222,1,"very easy"
"131",0,0.0248636363636363,2,"easy"
"131",0.375,0.17938198757764,3,"difficult"
"131",0.284420289855073,0.0466963562753036,4,"very difficult"
"132",0.0833333333333333,-0.0408727272727273,1,"very easy"
"132",-0.0416666666666667,-0.0127342105263157,2,"easy"
"132",0.166666666666667,-0.0378541666666666,3,"difficult"
"132",0.0833333333333333,-0.09975,4,"very difficult"
"133",-0.166666666666667,0.0934691075514874,1,"very easy"
"133",-0.0905797101449275,-0.0140358851674641,2,"easy"
"133",-0.333333333333333,0.0186499999999999,3,"difficult"
"133",-0.166666666666667,0.0525746606334843,4,"very difficult"
"134",0.00362318840579712,-0.0849545454545455,1,"very easy"
"134",-0.0416666666666667,-0.162073684210526,2,"easy"
"134",0.125,0.0591118421052631,3,"difficult"
"134",0.125,-0.00203846153846154,4,"very difficult"
"135",-0.166666666666667,-0.35479797979798,1,"very easy"
"135",-0.166666666666667,-0.3188,2,"easy"
"135",-0.375,-0.3188,3,"difficult"
"135",-0.333333333333333,-0.256844444444445,4,"very difficult"
"136",0.0416666666666666,0.0484365942028987,1,"very easy"
"136",0,-0.0477142857142857,2,"easy"
"136",0.0416666666666667,-0.114602631578947,3,"difficult"
"136",-0.0416666666666667,0.0654779411764707,4,"very difficult"
"137",0.166666666666667,0.137741666666667,1,"very easy"
"137",0.166666666666667,0.159058333333333,2,"easy"
"137",0.333333333333333,0.0918766233766235,3,"difficult"
