"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"44",0.416666666666667,0.8412,"other",3,"difficult","motion"
"44",0.791666666666667,0.746736842105263,"self",3,"difficult","motion"
"44",0.478260869565217,1.11263636363636,"other",4,"very difficult","motion"
"44",0.625,0.783733333333333,"self",4,"very difficult","motion"
"45",0.833333333333333,0.72185,"other",1,"very easy","motion"
"45",0.958333333333333,0.699260869565217,"self",1,"very easy","motion"
"45",0.791666666666667,0.755736842105263,"other",2,"easy","motion"
"45",0.833333333333333,0.76585,"self",2,"easy","motion"
"45",0.625,0.793933333333333,"other",3,"difficult","motion"
"45",0.708333333333333,0.771647058823529,"self",3,"difficult","motion"
"45",0.5,0.82025,"other",4,"very difficult","motion"
"45",0.625,0.828266666666667,"self",4,"very difficult","motion"
"46",0.791666666666667,0.788368421052632,"other",1,"very easy","motion"
"46",0.833333333333333,0.86015,"self",1,"very easy","motion"
"46",0.625,0.922733333333333,"other",2,"easy","motion"
"46",0.75,0.870222222222222,"self",2,"easy","motion"
"46",0.666666666666667,0.859875,"other",3,"difficult","motion"
"46",0.875,1.02371428571429,"self",3,"difficult","motion"
"46",0.625,0.799066666666667,"other",4,"very difficult","motion"
"46",0.291666666666667,1.02414285714286,"self",4,"very difficult","motion"
"47",0.791666666666667,0.712947368421053,"other",1,"very easy","motion"
"47",0.833333333333333,0.7791,"self",1,"very easy","motion"
"47",0.791666666666667,0.684526315789474,"other",2,"easy","motion"
"47",0.916666666666667,0.760909090909091,"self",2,"easy","motion"
"47",0.875,0.731142857142857,"other",3,"difficult","motion"
"47",0.791666666666667,0.766842105263158,"self",3,"difficult","motion"
"47",0.75,0.787222222222222,"other",4,"very difficult","motion"
"47",0.478260869565217,0.688454545454546,"self",4,"very difficult","motion"
"48",0.727272727272727,0.9258125,"other",1,"very easy","motion"
"48",0.863636363636364,0.72121052631579,"self",1,"very easy","motion"
"48",0.772727272727273,0.890941176470588,"other",2,"easy","motion"
"48",0.91304347826087,0.705428571428571,"self",2,"easy","motion"
"48",0.791666666666667,0.868947368421053,"other",3,"difficult","motion"
"48",0.791666666666667,0.71921052631579,"self",3,"difficult","motion"
"48",0.75,0.990166666666667,"other",4,"very difficult","motion"
"48",0.521739130434783,0.747583333333333,"self",4,"very difficult","motion"
"49",0.708333333333333,0.682235294117647,"other",1,"very easy","motion"
"49",0.833333333333333,0.86055,"self",1,"very easy","motion"
"49",0.708333333333333,0.676941176470588,"other",2,"easy","motion"
"49",0.739130434782609,0.812352941176471,"self",2,"easy","motion"
"49",0.739130434782609,0.679529411764706,"other",3,"difficult","motion"
"49",0.695652173913043,0.8456875,"self",3,"difficult","motion"
"49",0.625,0.806466666666667,"other",4,"very difficult","motion"
"49",0.541666666666667,0.910153846153846,"self",4,"very difficult","motion"
"50",0.791666666666667,0.905368421052632,"other",1,"very easy","motion"
"50",0.869565217391304,0.7923,"self",1,"very easy","motion"
"50",0.625,0.835266666666667,"other",2,"easy","motion"
"50",0.416666666666667,0.8294,"self",2,"easy","motion"
"50",0.916666666666667,0.933954545454545,"other",3,"difficult","motion"
"50",0.458333333333333,0.719818181818182,"self",3,"difficult","motion"
"50",0.75,0.878277777777778,"other",4,"very difficult","motion"
"50",0.166666666666667,1.036,"self",4,"very difficult","motion"
"51",0.916666666666667,0.802181818181818,"other",1,"very easy","motion"
"51",0.916666666666667,0.711818181818182,"self",1,"very easy","motion"
"51",0.666666666666667,0.801625,"other",2,"easy","motion"
"51",0.916666666666667,0.699409090909091,"self",2,"easy","motion"
"51",0.708333333333333,0.794588235294118,"other",3,"difficult","motion"
"51",0.869565217391304,0.6864,"self",3,"difficult","motion"
"51",0.5,0.826333333333333,"other",4,"very difficult","motion"
"51",0.565217391304348,0.908692307692308,"self",4,"very difficult","motion"
"52",0.708333333333333,0.812058823529412,"other",1,"very easy","motion"
"52",0.75,0.870555555555556,"self",1,"very easy","motion"
"52",0.75,0.8885,"other",2,"easy","motion"
"52",0.791666666666667,0.870210526315789,"self",2,"easy","motion"
"52",0.583333333333333,0.828285714285714,"other",3,"difficult","motion"
"52",0.625,0.755466666666667,"self",3,"difficult","motion"
"52",0.416666666666667,0.9488,"other",4,"very difficult","motion"
"52",0.75,1.00194444444444,"self",4,"very difficult","motion"
"53",0.833333333333333,1.04805,"other",1,"very easy","motion"
"53",0.791666666666667,1.01868421052632,"self",1,"very easy","motion"
"53",0.791666666666667,1.07231578947368,"other",2,"easy","motion"
"53",0.708333333333333,1.04276470588235,"self",2,"easy","motion"
"53",0.708333333333333,1.08670588235294,"other",3,"difficult","motion"
"53",0.791666666666667,1.17894736842105,"self",3,"difficult","motion"
"53",0.75,1.06788888888889,"other",4,"very difficult","motion"
"53",0.708333333333333,1.06358823529412,"self",4,"very difficult","motion"
"54",0.652173913043478,0.699266666666667,"other",1,"very easy","motion"
"54",0.541666666666667,0.900153846153846,"self",1,"very easy","motion"
"54",0.681818181818182,0.8214,"other",2,"easy","motion"
"54",0.75,0.736722222222222,"self",2,"easy","motion"
"54",0.666666666666667,0.807875,"other",3,"difficult","motion"
"54",0.652173913043478,0.796066666666667,"self",3,"difficult","motion"
"54",0.625,0.819733333333333,"other",4,"very difficult","motion"
"54",0.478260869565217,0.81,"self",4,"very difficult","motion"
"55",0.875,1.25638095238095,"other",1,"very easy","motion"
"55",0.583333333333333,1.31542857142857,"self",1,"very easy","motion"
"55",0.708333333333333,1.195,"other",2,"easy","motion"
"55",0.666666666666667,1.162375,"self",2,"easy","motion"
"55",0.791666666666667,1.25189473684211,"other",3,"difficult","motion"
"55",0.5,1.31175,"self",3,"difficult","motion"
"55",0.583333333333333,1.32314285714286,"other",4,"very difficult","motion"
"55",0.416666666666667,1.215,"self",4,"very difficult","motion"
"56",0.791666666666667,0.716947368421053,"other",1,"very easy","motion"
