"subj_idx","part","difficulty","association","rt","acc","group","task_type"
62,"match_RDK","easy","self",1626.57692307692,0.962962962962963,"color",NA
62,"match_RDK","hard","other",2141.89473684211,0.387755102040816,"color",NA
62,"match_RDK","hard","self",1882.17021276596,0.94,"color",NA
63,"RDK_color","easy","other",1477.625,0.75,"color","relevant"
63,"RDK_color","easy","self",1141.92857142857,0.875,"color","relevant"
63,"RDK_color","hard","other",1955.88235294118,0.548387096774194,"color","relevant"
63,"RDK_color","hard","self",1162.51724137931,0.935483870967742,"color","relevant"
63,"RDK_motion","easy","other",1612.35714285714,0.466666666666667,"color","irrelevant"
63,"RDK_motion","easy","self",2046.05882352941,0.548387096774194,"color","irrelevant"
63,"RDK_motion","hard","other",1774.76470588235,0.586206896551724,"color","irrelevant"
63,"RDK_motion","hard","self",1540.93333333333,0.483870967741935,"color","irrelevant"
63,"match_RDK","easy","other",2195.39534883721,0.796296296296296,"color",NA
63,"match_RDK","easy","self",1820.88,0.961538461538462,"color",NA
63,"match_RDK","hard","other",2263.26086956522,0.433962264150943,"color",NA
63,"match_RDK","hard","self",1896.55263157895,0.76,"color",NA
64,"RDK_color","easy","other",1704.93548387097,0.96875,"color","relevant"
64,"RDK_color","easy","self",1700.72727272727,0.733333333333333,"color","relevant"
64,"RDK_color","hard","other",1925.19230769231,0.866666666666667,"color","relevant"
64,"RDK_color","hard","self",1734.47368421053,0.655172413793103,"color","relevant"
64,"RDK_motion","easy","other",1630.74193548387,1,"color","irrelevant"
64,"RDK_motion","easy","self",1547.5,0.967741935483871,"color","irrelevant"
64,"RDK_motion","hard","other",2175.44,0.925925925925926,"color","irrelevant"
64,"RDK_motion","hard","self",1921.4347826087,0.884615384615385,"color","irrelevant"
64,"match_RDK","easy","other",1777.97959183673,0.98,"color",NA
64,"match_RDK","easy","self",1892.25,0.962962962962963,"color",NA
64,"match_RDK","hard","other",2058.68421052632,0.826086956521739,"color",NA
64,"match_RDK","hard","self",2291.44444444444,0.882352941176471,"color",NA
65,"RDK_color","easy","other",1575.53125,1,"color","relevant"
65,"RDK_color","easy","self",1599.84615384615,0.8125,"color","relevant"
65,"RDK_color","hard","other",1695.36,0.78125,"color","relevant"
65,"RDK_color","hard","self",2263.91304347826,0.741935483870968,"color","relevant"
65,"RDK_motion","easy","other",1217.85185185185,0.84375,"color","irrelevant"
65,"RDK_motion","easy","self",1277.75,0.875,"color","irrelevant"
65,"RDK_motion","hard","other",1604.41666666667,0.774193548387097,"color","irrelevant"
65,"RDK_motion","hard","self",1369.55172413793,0.90625,"color","irrelevant"
65,"match_RDK","easy","other",1423.48,0.943396226415094,"color",NA
65,"match_RDK","easy","self",1575.3137254902,0.944444444444444,"color",NA
65,"match_RDK","hard","other",1815.9756097561,0.803921568627451,"color",NA
65,"match_RDK","hard","self",2015.2972972973,0.69811320754717,"color",NA
1,"RDK_color","easy","other",881.153846153846,0.8125,"motion","irrelevant"
1,"RDK_color","easy","self",1063.03571428571,0.933333333333333,"motion","irrelevant"
1,"RDK_color","hard","other",1087.09090909091,0.6875,"motion","irrelevant"
1,"RDK_color","hard","self",1109.86363636364,0.709677419354839,"motion","irrelevant"
1,"RDK_motion","easy","other",1113.35294117647,0.548387096774194,"motion","relevant"
1,"RDK_motion","easy","self",988.533333333333,0.46875,"motion","relevant"
1,"RDK_motion","hard","other",1336.9375,0.551724137931034,"motion","relevant"
1,"RDK_motion","hard","self",1196,0.448275862068966,"motion","relevant"
1,"match_RDK","easy","other",1894.05714285714,0.603448275862069,"motion",NA
1,"match_RDK","easy","self",1472.4358974359,0.672413793103448,"motion",NA
1,"match_RDK","hard","other",1879.20689655172,0.483333333333333,"motion",NA
1,"match_RDK","hard","self",1710.4,0.636363636363636,"motion",NA
2,"RDK_color","easy","other",1317.36,0.78125,"motion","irrelevant"
2,"RDK_color","easy","self",1266.78260869565,0.71875,"motion","irrelevant"
2,"RDK_color","hard","other",1509.69230769231,0.8125,"motion","irrelevant"
2,"RDK_color","hard","self",1527.7,0.625,"motion","irrelevant"
2,"RDK_motion","easy","other",1322.14285714286,0.875,"motion","relevant"
2,"RDK_motion","easy","self",1296.19230769231,0.8125,"motion","relevant"
2,"RDK_motion","hard","other",1123.20833333333,0.75,"motion","relevant"
2,"RDK_motion","hard","self",1425.19047619048,0.65625,"motion","relevant"
2,"match_RDK","easy","other",1970.9387755102,0.875,"motion",NA
2,"match_RDK","easy","self",2211,0.785714285714286,"motion",NA
2,"match_RDK","hard","other",2246.77083333333,0.872727272727273,"motion",NA
2,"match_RDK","hard","self",2209.27777777778,0.692307692307692,"motion",NA
3,"RDK_color","easy","other",1256.5,0.903225806451613,"motion","irrelevant"
